pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_age,sy_dist
K2-167 b,1,1,Transit,2018,K2,9.97748,0.091,2.3,6.5,7.5,80.8994
K2-168 b,1,2,Transit,2018,K2,15.8523,,1.86,4.12,,243.935
K2-169 b,1,1,Transit,2018,K2,6.380803,,1.273,2.16,,235.867
K2-17 b,1,1,Transit,2015,K2,17.96753,0.119,2.23,5.6,,125.106
K2-170 b,1,2,Transit,2018,K2,7.576544,,1.418,2.6,,392.872
K2-170 c,1,2,Transit,2018,K2,12.400047,,1.802,3.9,,392.872
K2-171 b,1,1,Transit,2018,K2,5.628466,,2.687,7.69,,606.128
K2-172 b,1,2,Transit,2018,K2,14.316941,,1.666,3.42,,249.742
K2-172 c,1,2,Transit,2018,K2,29.62682,,3.206,10.4,,249.742
K2-173 b,1,1,Transit,2018,K2,5.868699,,1.608,3.22,,228.641
K2-174 b,1,1,Transit,2018,K2,19.562307,0.126,2.6,7.27,,99.9293
K2-175 b,1,1,Transit,2018,K2,9.525988,,2.038,4.81,,247.266
K2-176 b,1,1,Transit,2018,K2,5.329439,,1.491,2.83,,247.302
K2-177 b,1,1,Transit,2018,K2,14.155185,,2.116,5.13,,492.167
K2-178 b,1,1,Transit,2018,K2,8.747818,,3.558,12.4,,214.753
K2-179 b,1,1,Transit,2018,K2,5.172191,,2.513,6.86,,190.81
K2-18 b,1,2,Transit,2015,K2,32.939623,0.1429,2.37,8.92,,38.0266
K2-18 c,1,2,Radial Velocity,2017,La Silla Observatory,8.962,0.06,2.65,7.51,,38.0266
K2-180 b,1,1,Transit,2018,K2,8.8656511,0.0734,2.52,11.44182,9.5,203.896
K2-181 b,1,1,Transit,2018,K2,6.894256,0.0706,2.84,8.45,,360.911
K2-182 b,1,1,Transit,2018,K2,4.7369683,0.0526,2.69,20,2.07,154.83
K2-183 b,1,3,Transit,2018,K2,0.469285,,1.1,1.37,,329.041
K2-183 c,1,3,Transit,2018,K2,10.787992,0.0932,2.3,5.9,,329.041
K2-183 d,1,3,Transit,2018,K2,22.620344,0.1527,2.3,5.9,,329.041
K2-184 b,1,1,Transit,2018,K2,16.9780102,0.1685,1.47,2.76,,75.5857
K2-185 b,1,2,Transit,2018,K2,10.616384,,1.15,1.6,,268.357
K2-185 c,1,2,Transit,2018,K2,52.713494,,2.39,6.3,,268.357
K2-186 b,1,1,Transit,2018,K2,41.474219,,3.172,10.2,,330.739
K2-187 b,1,4,Transit,2018,K2,0.77401,0.0164,1.2,1.87,,330.916
K2-187 c,1,4,Transit,2018,K2,2.871512,0.0392,1.4,2.54,,330.916
K2-187 d,1,4,Transit,2018,K2,7.149584,0.072,2.4,6.35,,330.916
K2-187 e,1,4,Transit,2018,K2,13.606629,0.1106,1.9,4.27,,330.916
K2-188 b,1,2,Transit,2018,K2,1.742169,0.0289,1.35,2.39,,446.821
K2-188 c,1,2,Transit,2018,K2,7.810253,0.0785,2.83,8.4,,446.821
K2-189 b,1,2,Transit,2018,K2,2.588309,0.0361,1.52,2.92,,242.113
K2-189 c,1,2,Transit,2018,K2,6.679195,0.068,2.5,6.8,,242.113
K2-19 b,1,3,Transit,2015,K2,7.9222,0.074,7,32.4,8,289.827
K2-19 c,1,3,Transit,2015,K2,11.8993,0.0971,4.1,10.8,8,289.827
K2-19 d,1,3,Transit,2016,K2,2.5081,0.0344,1.11,10,8,289.827
K2-190 b,1,2,Transit,2018,K2,10.098858,,1.357,2.41,,160.679
K2-190 c,1,2,Transit,2018,K2,21.574023,,1.093,1.34,,160.679
K2-191 b,1,1,Transit,2018,K2,2.858646,,1.579,3.12,,287.188
K2-192 b,1,1,Transit,2018,K2,4.162817,0.049,1.52,2.92,,221.753
K2-193 b,1,1,Transit,2018,K2,14.786889,0.1184,3.95,14.8,,411.923
K2-194 b,1,1,Transit,2018,K2,39.721386,,3.642,12.9,,629.51
K2-195 b,1,2,Transit,2018,K2,15.852975,0.1208,3.13,9.96,,315.014
K2-195 c,1,2,Transit,2018,K2,28.482786,,2.576,7.16,,315.014
K2-196 b,1,1,Transit,2018,K2,48.324222,,3.6,12.6,,584.877
K2-197 b,1,1,Transit,2018,K2,8.357881,0.0806,2.56,7.08,,247.637
K2-198 b,1,3,Transit,2018,K2,17.0428683,,4.189,16.3,,110.567
K2-198 c,1,3,Transit,2019,K2,3.3596055,,1.423,2.61,,110.567
K2-198 d,1,3,Transit,2019,K2,7.4500177,,2.438,6.52,,110.567
K2-199 b,1,2,Transit,2018,K2,3.2253993,0.0382,1.73,6.9,5.04,107.518
K2-199 c,1,2,Transit,2018,K2,7.3744897,0.0662,2.85,12.4,5.04,107.518
K2-200 b,1,1,Transit,2018,K2,2.849883,,1.364,2.43,,184.131
K2-201 b,1,2,Transit,2018,K2,1.05979,,1.4,2.54,,197.932
K2-201 c,1,2,Transit,2018,K2,22.779878,,3.286,10.8,,197.932
K2-2016-BLG-0005L b,1,1,Microlensing,2023,K2,4700,4.16,13.7,349.61125,,5200
K2-202 b,1,1,Transit,2018,K2,3.405164,,2.302,5.91,,300.397
K2-203 b,1,1,Transit,2018,K2,9.695101,,1.371,2.45,,166.147
K2-204 b,1,1,Transit,2018,K2,7.055784,,3.046,9.51,,577.235
K2-205 b,1,1,Transit,2018,K2,26.672263,,1.996,4.64,,405.301
K2-206 b,1,1,Transit,2018,K2,18.294549,,2.795,8.22,,244.443
K2-207 b,1,1,Transit,2018,K2,12.48749,,2.606,7.3,,363.064
K2-208 b,1,1,Transit,2018,K2,4.190948,,1.679,3.46,,256.887
K2-209 b,1,1,Transit,2018,K2,2.080615,,0.869,0.586,,76.4986
K2-21 b,1,2,Transit,2015,K2,9.325038,0.076,1.84,4.04,1,83.6448
K2-21 c,1,2,Transit,2015,K2,15.50192,0.107,2.49,6.76,1,83.6448
K2-210 b,1,1,Transit,2018,K2,0.57023,,0.86,0.566,,176.51
K2-211 b,1,1,Transit,2018,K2,0.669532,,1.3,2.24,,272.297
K2-212 b,1,1,Transit,2018,K2,9.795647,0.0785,2.65,7.51,,109.218
K2-213 b,1,1,Transit,2018,K2,8.13087,,1.514,2.9,,389.702
K2-214 b,1,1,Transit,2018,K2,8.596802,0.0834,2.43,6.48,,300.64
K2-215 b,1,1,Transit,2018,K2,8.269648,,2.124,5.16,,403.964
K2-216 b,1,1,Transit,2018,K2,2.1748,0.028,1.75,8,,115.461
K2-217 b,1,1,Transit,2018,K2,14.074524,,3.579,12.5,,381.878
K2-218 b,1,1,Transit,2018,K2,8.679885,,2.569,7.13,,394.083
K2-219 b,1,3,Transit,2018,K2,3.901287,,1.348,2.38,,325.4
K2-219 c,1,3,Transit,2018,K2,6.66767,,1.438,2.66,,325.4
K2-219 d,1,3,Transit,2018,K2,11.137278,,2.576,7.16,,325.4
K2-22 b,2,1,Transit,2015,K2,0.381073,0.009,2.3,444.962,,243.836
K2-220 b,1,1,Transit,2018,K2,13.683256,0.1104,2.39,6.3,,233.514
K2-221 b,1,1,Transit,2018,K2,2.399094,,1.679,3.46,,318.81
K2-222 b,1,1,Transit,2018,K2,15.38857,0.1206,2.35,8.7,7.1,101.321
K2-223 b,1,2,Transit,2018,K2,0.50557,0.0127,0.89,0.64,,198.604
K2-223 c,1,2,Transit,2018,K2,4.562546,0.0549,1.5,2.86,,198.604
K2-224 b,1,2,Transit,2018,K2,4.47904,0.0516,1.56,3.05,,275.255
K2-224 c,1,2,Transit,2018,K2,10.09489,0.0886,2.41,6.39,,275.255
K2-225 b,1,1,Transit,2018,K2,15.87209,0.134,3.49,12,,357.778
K2-226 b,1,1,Transit,2018,K2,3.27108,0.0413,1.54,2.99,,211.265
K2-227 b,1,1,Transit,2018,K2,13.621832,,1.666,3.41,,187.234
K2-228 b,1,1,Transit,2018,K2,2.69828,0.0338,1.21,1.92,,129.46
K2-229 b,1,2,Transit,2018,K2,0.584216,0.0131,1,2.49,5.4,102.564
K2-229 c,1,2,Transit,2018,K2,8.32727,0.0769,2.03,21.3,5.4,102.564
K2-230 b,1,1,Transit,2018,K2,2.86041,0.0409,1.96,4.5,,540.773
K2-231 b,1,1,Transit,2018,K2,13.841901,,2.5,6.8,3,321.215
K2-232 b,1,1,Transit,2018,K2,11.168454,0.10356,11.209,126.49634,1.43,130.72
K2-233 b,1,3,Transit,2018,K2,2.4675,0.03308,1.343,11.26,0.36,67.5062
K2-233 c,1,3,Transit,2018,K2,7.06005,0.06666,1.281,12.81,0.36,67.5062
K2-233 d,1,3,Transit,2018,K2,24.3645,0.15224,2.358,21.14,0.36,67.5062
K2-237 b,1,1,Transit,2018,K2,2.18053539,0.03558,16.197,433.20012,1.02,314.995
K2-238 b,1,1,Transit,2018,K2,3.20466,0.046,14.572,273.3338,5.63,537.963
K2-239 b,1,3,Transit,2018,K2,5.24,0.0441,1.1,1.37,,31.0849
K2-239 c,1,3,Transit,2018,K2,7.775,0.0576,1,0.972,,31.0849
K2-239 d,1,3,Transit,2018,K2,10.115,0.0685,1.1,1.37,,31.0849
K2-24 b,1,2,Transit,2016,K2,20.88977,0.154,5.4,19,5.1,170.562
K2-24 c,1,2,Transit,2016,K2,42.3391,0.247,7.5,15.4,5.1,170.562
K2-240 b,1,2,Transit,2018,K2,6.034,0.0513,2,4.66,,72.9105
K2-240 c,1,2,Transit,2018,K2,20.523,0.1159,1.8,3.89,,72.9105
K2-241 b,1,1,Transit,2018,K2,26.8199,0.1567,2.55,7.04,,149.464
K2-242 b,1,1,Transit,2018,K2,6.51389,0.0494,2.54,6.99,,109.237
K2-243 b,1,2,Transit,2018,K2,11.54182,0.1087,2.17,5.35,,266.864
K2-243 c,1,2,Transit,2018,K2,24.94598,0.1817,2.01,4.7,,266.864
K2-244 b,1,1,Transit,2018,K2,21.06884,0.1418,1.75,3.71,,212.902
K2-245 b,1,1,Transit,2018,K2,11.89307,0.0959,4.34,17.4,,456.064
K2-246 b,1,1,Transit,2018,K2,5.76918,0.0602,3.49,12,,703.616
K2-247 b,1,2,Transit,2018,K2,2.25021,0.0304,2.12,5.14,,258.113
K2-247 c,1,2,Transit,2018,K2,6.49424,0.0615,2.19,5.43,,258.113
K2-248 b,1,1,Transit,2018,K2,7.17256,0.0699,2.57,7.13,,406.254
K2-249 b,1,1,Transit,2018,K2,12.409,0.1151,2.79,8.2,,521.716
K2-25 b,1,1,Transit,2015,K2,3.48456408,0.0287,3.44,24.5,0.73,44.9565
K2-250 b,1,1,Transit,2018,K2,4.01457,0.0459,2.44,6.53,,414.708
K2-251 b,1,1,Transit,2018,K2,9.30075,0.0694,2.35,6.12,,147.03
K2-252 b,1,1,Transit,2018,K2,13.81513,0.1041,1.74,3.68,,228.839
K2-253 b,1,1,Transit,2018,K2,4.00167,0.0506,12.67,,,876.565
K2-254 b,1,2,Transit,2018,K2,4.09639,0.0448,1.63,3.29,,227.775
K2-254 c,1,2,Transit,2018,K2,12.11839,0.0923,2.19,5.43,,227.775
K2-255 b,1,1,Transit,2018,K2,1.96417,0.0274,2.9,8.75,,191.608
K2-256 b,1,1,Transit,2018,K2,5.52011,0.0578,2.63,7.41,,564.693
K2-257 b,1,1,Transit,2018,K2,1.60588,0.0216,0.83,0.498,,64.0065
K2-258 b,1,1,Transit,2018,K2,19.0921,0.149,3,9.27,,661.873
K2-259 b,1,1,Transit,2018,K2,15.48043,0.1271,2.32,5.99,,416.457
K2-26 b,1,1,Transit,2016,K2,14.5665,0.0962,2.67,7.61,1,99.0504
K2-260 b,1,1,Transit,2018,K2,2.6266657,0.0404,17.396,451.3186,1.9,663.834
K2-261 b,1,1,Transit,2018,K2,11.633478,0.1034,9.528,59.75174,9.3,213.283
K2-263 b,1,1,Transit,2018,K2,50.818947,0.2573,2.41,14.9,7,162.481
K2-264 b,1,2,Transit,2018,K2,5.840002,0.05023,2.231,5.61,,185.605
K2-264 c,1,2,Transit,2018,K2,19.660302,0.11283,2.668,7.6,,185.605
K2-265 b,2,1,Transit,2018,K2,2.369172,0.03376,1.71,6.54,9.7,138.671
K2-266 b,2,4,Transit,2018,K2,0.658524,0.01306,3.3,11.26782,,77.5586
K2-266 c,2,4,Transit,2018,K2,7.814,0.0679,0.705,0.29013,,77.5586
K2-266 d,2,4,Transit,2018,K2,14.697,0.1035,2.93,8.9,,77.5586
K2-266 e,2,4,Transit,2018,K2,19.482,0.1249,2.73,14.3,,77.5586
K2-268 b,1,5,Transit,2018,K2,2.151676,0.0308,1.5,2.86,,327.783
K2-268 c,1,5,Transit,2018,K2,9.327527,0.0819,2.69,7.7,,327.783
K2-268 d,1,5,Transit,2019,K2,4.528598,,1.49,2.83,,327.783
K2-268 e,1,5,Transit,2019,K2,6.131243,,1.33,2.33,,327.783
K2-268 f,1,5,Transit,2019,K2,26.27057,,2.23,5.6,,327.783
K2-269 b,1,1,Transit,2018,K2,4.144965,0.0531,1.57,3.09,,360.76
K2-27 b,3,1,Transit,2016,K2,6.771315,0.06702,4.48,30.9,10.3,249.645
K2-270 b,1,2,Transit,2018,K2,1.543069,0.0247,1.38,2.48,,280.518
K2-270 c,1,2,Transit,2018,K2,4.400028,0.0497,2.95,9.01,,280.518
K2-271 b,1,1,Transit,2018,K2,8.562421,0.077,7.28,41.8,,564.454
K2-272 b,1,1,Transit,2018,K2,14.4536756,0.1007,3.13,9.96,,423.065
K2-273 b,1,1,Transit,2018,K2,11.7195663,0.0729,3.05,9.53,,308.105
K2-274 b,1,1,Transit,2018,K2,14.1330314,0.0964,2.08,4.98,,228.327
K2-275 b,1,2,Transit,2018,K2,3.2809626,0.0277,2.34,6.08,,123.438
K2-275 c,1,2,Transit,2018,K2,8.4388385,0.0881,2.21,5.52,,123.438
K2-276 b,1,1,Transit,2018,K2,18.718269,0.1291,3.77,13.7,,488.152
K2-277 b,1,1,Transit,2018,K2,6.326763,0.0675,2.07,4.94,,113.123
K2-278 b,1,1,Transit,2018,K2,3.334966,0.0488,2.98,9.17,,786.439
K2-279 b,1,1,Transit,2018,K2,7.122605,0.067,1.21,1.92,,182.983
K2-28 b,1,1,Transit,2016,K2,2.260455,0.0214,2.32,5.99,,62.9969
K2-280 b,1,1,Transit,2018,K2,19.89526,0.1461,7.5,37.1,8.96,391.537
K2-281 b,1,1,Transit,2018,K2,8.687721,0.0773,8.18,50.9,,458.139
K2-282 b,1,2,Transit,2018,K2,4.169783,0.0499,2.5,6.8,,496.289
K2-283 b,1,1,Transit,2018,K2,1.921036,0.0291,3.52,12.2,,402.915
K2-284 b,1,1,Transit,2018,K2,4.795069,0.04771,2.78,8.15,0.12,107.272
K2-285 b,1,4,Transit,2018,K2,3.471745,0.03817,2.59,9.68,,154.961
K2-285 c,1,4,Transit,2018,K2,7.138048,0.0824,3.53,15.68,,154.961
K2-285 d,1,4,Transit,2018,K2,10.45582,0.1178,2.48,6.5,,154.961
K2-285 e,1,4,Transit,2018,K2,14.76289,0.18041,1.95,10.7,,154.961
K2-286 b,1,1,Transit,2018,K2,27.359,0.1768,2.1,5.06,,76.1486
K2-287 b,1,1,Transit,2018,K2,14.893291,0.1206,9.494,100.11645,4.5,158.335
K2-288 B b,2,1,Transit,2018,K2,31.393463,0.164,1.9,4.27,1,65.6138
K2-289 b,1,1,Transit,2019,K2,13.156969,0.107,9.1,61,,274.3
K2-29 b,2,1,Transit,2016,K2,3.2588321,0.04217,13.339,232.0159,2.6,178.475
K2-290 b,3,2,Transit,2019,K2,9.21165,0.0923,3.06,10.9,4,272.909
K2-290 c,3,2,Transit,2019,K2,48.36685,0.305,11.276,246.00042,4,272.909
K2-291 b,1,1,Transit,2019,K2,2.225177,0.03261,1.589,6.49,3.72,90.0562
K2-292 b,1,1,Transit,2019,K2,16.9841,0.13,2.63,24.5,6.8,114.293
K2-293 b,1,1,Transit,2019,K2,13.1225,,2.45,6.57,,392.251
K2-294 b,1,1,Transit,2019,K2,2.50387,,1.66,3.39,,373.078
K2-295 b,1,1,Transit,2018,K2,4.024867,0.0451,10.054,106.47305,,232.801
K2-3 b,1,3,Transit,2015,K2,10.0546535,0.0747,2.078,5.11,6.9,44.0727
K2-3 c,1,3,Transit,2015,K2,24.646729,0.1357,1.582,2.68,6.9,44.0727
K2-3 d,1,3,Transit,2015,K2,44.55603,0.2014,1.458,2.2,6.9,44.0727
K2-30 b,1,1,Transit,2016,K2,4.098503,0.04839,11.646,184.02357,3.9,333.042
K2-308 b,1,1,Transit,2019,K2,3.38628,,9.916,70.6,,1314.53
K2-31 b,2,1,Transit,2016,K2,1.25785,0.022,11.882,563.83042,,110.527
K2-312 c,1,2,Radial Velocity,2023,Roque de los Muchachos Observatory,921.2,1.961,12.8,1719.45168,2.67,109.86
K2-315 b,1,1,Transit,2020,K2,3.1443189,,0.95,0.809,1,56.9686
K2-316 b,1,2,Transit,2020,K2,1.133,0.0147,1.33,2.33,,112.486
K2-316 c,1,2,Transit,2020,K2,5.26,0.0582,1.83,4.01,,112.486
K2-317 b,1,1,Transit,2020,K2,6.22,0.0542,2.93,8.91,,176.291
K2-318 b,1,1,Transit,2020,K2,7.01,0.0911,1.66,3.39,,147.866
K2-319 b,1,1,Transit,2020,K2,26.68,0.1516,2.79,8.2,,209.071
K2-32 b,2,4,Transit,2016,K2,8.992,0.0795,5.299,15,7.9,157.682
K2-32 c,2,4,Transit,2016,K2,20.66093,0.13843,3.134,8.1,7.9,157.682
K2-32 d,2,4,Transit,2016,K2,31.71701,0.18422,3.484,6.7,7.9,157.682
K2-32 e,2,4,Transit,2019,K2,4.34934,0.04899,1.212,2.1,7.9,157.682
K2-320 b,1,1,Transit,2020,K2,1.995,0.0142,2.62,7.37,,108.74
K2-321 b,1,1,Transit,2020,K2,2.298,0.041,1.95,4.46,,77.6888
K2-322 b,1,1,Transit,2020,K2,8.205,0.0594,1.92,4.35,,123.415
K2-323 b,1,1,Transit,2020,K2,24.93,0.1275,2.1,5.06,,118.318
K2-324 b,1,1,Transit,2020,K2,3.262,0.0331,2.43,6.48,,136.667
K2-325 b,1,1,Transit,2020,K2,6.93,0.0419,2.2,5.48,,111.638
K2-326 b,1,1,Transit,2020,K2,1.256,0.0198,2.28,5.82,,282.308
K2-329 b,1,1,Transit,2020,K2,12.4551225,0.1016,8.676,82.6358,1.8,233.237
K2-33 b,1,1,Transit,2016,K2,5.424865,0.0409,5.04,1175.971,0.009,139.268
K2-330 b,1,1,Transit,2016,K2,13.774798,,2.77,8.1,,160.125
K2-331 b,1,2,Transit,2021,K2,9.398977,,1.79,3.86,,211.43
K2-331 c,1,2,Transit,2018,K2,22.996591,,2.72,7.85,,211.43
K2-332 b,1,1,Transit,2016,K2,17.70632,,2.2,5.48,,123.202
K2-333 b,1,1,Transit,2018,K2,14.759287,,6.18,31.6,,343.99
K2-334 b,1,1,Transit,2018,K2,5.113981,,5.65,27.2,,371.823
K2-335 b,1,1,Transit,2016,K2,12.283211,,2.21,5.52,,557.993
K2-336 b,1,1,Transit,2016,K2,21.194733,,1.22,1.98,,239.289
K2-337 b,1,1,Transit,2016,K2,16.273563,,2.62,7.37,,421.636
K2-338 b,1,1,Transit,2016,K2,3.850614,,1.03,1.08,,156.951
K2-339 b,1,1,Transit,2019,K2,19.507428,,1.92,4.35,,360.36
K2-34 b,1,1,Transit,2016,K2,2.9956348,0.0442,13.75,539.67534,2.88,348.646
K2-340 b,1,1,Transit,2016,K2,29.740451,,3.36,11.2,,738.136
K2-341 b,1,1,Transit,2018,K2,36.552551,,3.21,10.4,,421.408
K2-342 b,1,1,Transit,2018,K2,11.561052,,2.03,4.78,,208.357
K2-343 b,1,2,Transit,2019,K2,2.787174,,1.65,3.36,,166.169
K2-343 c,1,2,Transit,2018,K2,7.676972,,2.02,4.74,,166.169
K2-344 b,1,1,Transit,2018,K2,3.35585,,1.59,3.15,,75.1691
K2-345 b,1,1,Transit,2016,K2,10.367437,,2.11,5.1,,162.408
K2-346 b,1,1,Transit,2016,K2,26.201446,,2.26,5.73,,105.58
K2-347 b,1,1,Transit,2016,K2,7.187257,,2.41,6.39,,320.336
K2-348 b,1,2,Transit,2018,K2,4.688418,,3.26,10.7,,201.856
K2-348 c,1,2,Transit,2018,K2,12.550171,,2.67,7.61,,201.856
K2-349 b,1,1,Transit,2016,K2,9.032178,,1.38,2.48,,453.567
K2-35 b,1,2,Transit,2016,K2,2.399964,0.031,1.32,2.3,,252.596
K2-35 c,1,2,Transit,2016,K2,5.608352,0.055,1.93,4.38,,252.596
K2-350 b,1,2,Transit,2021,K2,4.163873,,1.54,2.99,,489.368
K2-350 c,1,2,Transit,2016,K2,19.991944,,2.74,7.95,,489.368
K2-351 b,1,1,Transit,2016,K2,7.806164,,2.54,6.99,,694.734
K2-352 b,1,3,Transit,2021,K2,3.665912,,1.37,2.45,,176.051
K2-352 c,1,3,Transit,2018,K2,8.234885,,1.92,4.35,,176.051
K2-352 d,1,3,Transit,2018,K2,14.871387,,2.23,5.6,,176.051
K2-353 b,1,1,Transit,2021,K2,15.466805,,5.55,26.3,,268.515
K2-354 b,1,1,Transit,2016,K2,3.793306,,1.56,3.05,,91.722
K2-355 b,1,1,Transit,2021,K2,5.7385647,0.0632,2.25,5.69,,500.497
K2-356 b,1,1,Transit,2021,K2,21.0267366,0.1599,2.29,5.86,,355.54
K2-357 b,1,1,Transit,2021,K2,16.3488637,0.145,3.72,13.4,,517.687
K2-358 b,1,1,Transit,2021,K2,11.2510285,0.0863,2.68,7.65,,480.307
K2-36 b,1,2,Transit,2016,K2,1.422614,0.02288,1.43,4.3,1.4,109.749
K2-36 c,1,2,Transit,2016,K2,5.340888,0.05528,3.2,7.9,1.4,109.749
K2-365 b,1,1,Transit,2022,K2,23.448172,,2.906,8.78,,187.222
K2-366 b,1,1,Transit,2022,K2,15.937039,,2.359,6.16,,185.947
K2-367 b,1,1,Transit,2022,K2,20.645099,,2.413,6.41,,176.965
K2-368 b,1,3,Transit,2022,K2,5.025598,,1.332,2.34,,206.608
K2-368 c,1,3,Transit,2022,K2,9.660186,,1.361,2.42,,206.608
K2-368 d,1,3,Transit,2022,K2,20.201085,,1.948,4.45,,206.608
K2-369 b,1,1,Transit,2022,K2,5.761612,,1.313,2.28,,185.55
K2-37 b,1,3,Transit,2016,K2,4.44117,0.0511,1.61,3.22,,179.943
K2-37 c,1,3,Transit,2016,K2,6.42904,0.0654,2.75,8,,179.943
K2-37 d,1,3,Transit,2016,K2,14.09189,0.1103,2.73,7.9,,179.943
K2-370 b,1,1,Transit,2022,K2,2.14084,,3.207,10.4,,144.202
K2-371 b,1,1,Transit,2022,K2,3.114905,,13.024,,,442.813
K2-372 b,1,1,Transit,2022,K2,9.844077,,2.945,8.98,,463.88
K2-373 b,1,1,Transit,2022,K2,11.02066,,2.061,4.9,,229.567
K2-374 b,1,2,Transit,2022,K2,4.521953,,1.593,3.16,,359.439
K2-374 c,1,2,Transit,2022,K2,16.43445,,2.213,5.53,,359.439
K2-375 b,1,1,Transit,2022,K2,14.453895,,2.243,5.66,,696.1
K2-376 b,1,1,Transit,2022,K2,5.776475,,1.736,3.66,,161.61
K2-377 b,1,1,Transit,2022,K2,12.832235,,1.693,3.51,,195.149
K2-378 b,1,1,Transit,2022,K2,2.060438,,2.88,8.65,,687.973
K2-379 b,1,1,Transit,2022,K2,8.777247,,2.181,5.4,,182.207
K2-38 b,1,2,Transit,2016,K2,4.01593,0.0503,1.655,7.7,6.1,192.69
K2-38 c,1,2,Transit,2016,K2,10.56103,0.0959,2.49,7.4,6.1,192.69
K2-380 b,1,1,Transit,2022,K2,9.401312,,2.729,7.89,,249.303
K2-381 b,1,3,Transit,2022,K2,7.9389334,,1.075,1.26,,145.701
K2-381 c,1,3,Transit,2022,K2,16.034656,,2,4.66,,145.701
K2-381 d,1,3,Transit,2022,K2,26.803023,,1.689,3.5,,145.701
K2-382 b,1,1,Transit,2022,K2,21.700156,,2.072,4.95,,278.412
K2-383 b,1,1,Transit,2022,K2,1.865962,,1.564,3.07,,203.788
K2-384 b,1,5,Transit,2022,K2,2.231527,,1.076,1.26,,82.6603
K2-384 c,1,5,Transit,2022,K2,4.194766,,1.191,1.82,,82.6603
K2-384 d,1,5,Transit,2022,K2,6.679582,,1.392,2.52,,82.6603
K2-384 e,1,5,Transit,2022,K2,9.715043,,1.345,2.37,,82.6603
K2-384 f,1,5,Transit,2022,K2,13.62749,,2.222,5.57,,82.6603
K2-385 b,1,1,Transit,2022,K2,2.380867,,1.539,2.98,,420.819
K2-386 b,1,1,Transit,2022,K2,7.473223,,2.32,5.99,,428.785
K2-387 b,1,1,Transit,2022,K2,28.735327,,7.322,42.2,,266.318
K2-388 b,1,1,Transit,2022,K2,6.339069,,3.66,13,,290.495
K2-389 b,1,2,Transit,2022,K2,8.584043,,2.184,5.41,,259.208
K2-389 c,1,2,Transit,2022,K2,20.851337,,2.04,4.82,,259.208
K2-39 b,1,1,Transit,2016,K2,4.60543,0.05708,6.277,28.6047,3.09,307.47
K2-390 b,1,1,Transit,2022,K2,3.312792,,4.662,19.6,,456.122
K2-391 b,1,1,Transit,2022,K2,4.622654,,1.371,2.45,,507.94
K2-392 b,1,1,Transit,2022,K2,15.398723,,1.85,4.08,,406.985
K2-393 b,1,1,Transit,2022,K2,10.413181,,2.352,6.13,,265.914
K2-394 b,1,1,Transit,2022,K2,5.095717,,1.692,3.51,,98.0152
K2-395 b,1,2,Transit,2022,K2,4.803352,,2.597,7.26,,286.727
K2-395 c,1,2,Transit,2022,K2,8.491282,,3.395,11.4,,286.727
K2-396 b,1,2,Transit,2022,K2,0.673862,,1.579,3.12,,274.864
K2-396 c,1,2,Transit,2022,K2,25.76051,,3.124,9.93,,274.864
K2-397 b,1,1,Transit,2022,K2,3.572326,,2.417,6.42,,199.354
K2-398 b,1,2,Transit,2022,K2,6.393025,,2.274,5.79,,606.992
K2-398 c,1,2,Transit,2022,K2,18.787839,,5.098,22.8,,606.992
K2-399 b,1,1,Transit,2022,K2,0.759978,,6.049,30.5,,515.491
K2-4 b,1,1,Transit,2015,K2,10.003417,0.078,2.1,5.06,,231.828
K2-400 b,1,1,Transit,2022,K2,3.865053,,1.163,1.67,,62.3804
K2-401 b,1,1,Transit,2022,K2,6.293099,,2.262,5.74,,200.727
K2-402 b,1,1,Transit,2022,K2,17.27474,,2.678,7.65,,523.055
K2-403 b,1,1,Transit,2022,K2,33.589979,,5.333,24.6,,246.599
K2-404 b,1,1,Transit,2022,K2,13.115365,,2.53,6.94,,121.63
K2-405 b,1,1,Transit,2022,K2,3.435471,,4.569,18.9,,197.234
K2-406 b,1,1,Transit,2022,K2,22.549406,,4.602,19.2,,85.3751
K2-407 b,1,2,Transit,2022,K2,4.941907,,1.283,2.19,,218.376
K2-407 c,1,2,Transit,2022,K2,9.22453,,1.36,2.42,,218.376
K2-408 b,1,1,Transit,2022,K2,20.978959,,1.677,3.45,,162.306
K2-409 b,1,1,Transit,2022,K2,1.908084,,2.482,6.72,,431.031
K2-411 b,1,1,Transit,2022,K2,3.2141,0.0511,0.99,0.937,,298.219
K2-412 b,1,1,Transit,2022,K2,5.9382,0.0586,2.116,5.13,,654.085
K2-413 b,1,2,Transit,2022,K2,0.8094,0.0117,0.76,0.363,,285.162
K2-413 c,1,2,Transit,2022,K2,5.3301,0.0426,1.233,2.05,,285.162
K2-414 b,1,2,Transit,2022,K2,4.3696,0.0487,1.219,1.98,,260.036
K2-414 c,1,2,Transit,2022,K2,6.669,0.0552,1.929,4.38,,260.036
K2-415 b,1,1,Transit,2023,K2,4.0179694,0.027,1.015,7.5,,21.8182
K2-416 b,1,1,Transit,2023,K2,13.102,0.088,2.66,1652.70772,,120.311
K2-417 b,1,1,Transit,2023,K2,6.535,0.063,3.31,699.2225,,94.0424
