Date Reported,Date Occurred,Time Occurred,Area Name,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Description,Address,Cross Street,Location
02/24/2019,02/23/2019,2105,77th Street,4025 3037 3027 3029 3101 3008,32,M,W,STREET,MANCHESTER                   BL,GRAMERCY                     PL,"(33.96, -118.3134)"
02/25/2019,02/24/2019,1940,Pacific,3027 2004 3003 3035 3037 3101 3401 3701 4027,63,M,A,STREET,CENTINELA                    AV,GILMORE                      AV,"(33.9918, -118.4219)"
02/26/2019,02/25/2019,1855,77th Street,3601 4025 3027 3036 3003 3034 3602 3101,50,M,H,STREET,HOOVER                       ST,80TH                         ST,"(33.9693, -118.285)"
02/26/2019,02/26/2019,15,Wilshire,3003 3027 3034 3037 3101 3401 3701 4027 2004,29,M,B,STREET,WILSHIRE                     BL,FREMONT                      PL,"(34.0619, -118.3258)"
02/26/2019,02/26/2019,615,Southeast,3003 3027 3101 4018 3036 3501 3601,59,M,B,STREET,CENTRAL,112TH                        ST,"(33.9331, -118.2542)"
02/28/2019,02/27/2019,2125,Northeast,0605 3101 3401 3701 4024 3027 3036 3003,43,F,H,STREET,RIVERSIDE                    DR,NEWELL                       ST,"(34.0985, -118.2483)"
02/28/2019,02/28/2019,1410,Van Nuys,3003 3027 3037 3101 3401 3701 4026,60,F,H,STREET,VANOWEN                      ST,SEPULVEDA                    BL,"(34.1939, -118.4662)"
03/03/2019,03/03/2019,1325,Mission,3027 3004 3037 3101 3401 3701 4026,27,M,H,STREET,FOOTHILL                     BL,ARROYO                       ST,"(34.2941, -118.4158)"
03/09/2019,03/09/2019,900,Newton,3027 0605 3101 3401 3701 4024 3003,70,M,H,STREET,S  MAIN                         ST,W  45TH                         ST,"(34.0029, -118.274)"
03/10/2019,03/10/2019,100,Newton,0605 3101 3401 3701 4024 3004 3027 3036,48,F,H,STREET,MAIN                         ST,59TH                         PL,"(33.9861, -118.2739)"
03/11/2019,03/11/2019,2105,Southwest,4025 3036 3003 3027 3101 3029 3038 3601,25,M,B,STREET,MARTIN LUTHER KING JR        BL,COLISEUM                     ST,"(34.0176, -118.3458)"
03/12/2019,03/12/2019,2315,Harbor,3027 4005 0605 3101 3003 3037 3601 3501,49,F,W,STREET,PACIFIC COAST                HY,FIGUEROA                     PL,"(33.7909, -118.2845)"
03/15/2019,03/14/2019,2135,N Hollywood,3003 3027 3036 3101 3401 3701 4026 1218,49,M,H,STREET,VANOWEN                      ST,ELMER                        AV,"(34.194, -118.3768)"
03/16/2019,03/15/2019,1945,Northeast,3101 3401 3701 3003 3036 3027,55,F,H,STREET,EAGLE ROCK                   BL,AVENUE 41                    AV,"(34.121, -118.2271)"
03/17/2019,03/17/2019,1140,Newton,3101 3401 3701 3009 3027 3036,68,M,H,STREET,BROADWAY,JEFFERSON                    BL,"(34.0179, -118.2746)"
03/18/2019,03/17/2019,2030,West LA,3003 3027 3034 3037 3101 3401 3701 4027,63,M,W,STREET,ROBERTSON                    BL,WHITWORTH                    DR,"(34.0571, -118.3837)"
03/18/2019,03/17/2019,2335,Van Nuys,3027 4026 3003 3037 3034 3101 3401 3701,41,F,H,STREET,SEPULVEDA                    BL,OXNARD                       ST,"(34.1794, -118.4662)"
03/19/2019,03/18/2019,2015,Van Nuys,3003 3029 3037 3101 3401 3701 4026 3027,83,F,W,STREET,WOODMAN                      AV,VANOWEN                      ST,"(34.194, -118.4312)"
03/21/2019,03/21/2019,525,Wilshire,3003 3027 3035 3037 3101 3401 3701 4027 1402,51,M,H,STREET,BEVERLY                      BL,SPAULDING                    AV,"(34.0761, -118.3573)"
03/22/2019,03/21/2019,2155,N Hollywood,3027 3003 3101 3401 3701 4026 3036 1218,56,M,W,STREET,LANKERSHIM                   BL,RIVERSIDE                    DR,"(34.1523, -118.367)"
03/23/2019,03/22/2019,2020,Rampart,3027 4024 3101 3401 3701 3003 1218,17,M,O,STREET,ALVARADO                     ST,S  HOLLYWOOD                    FY,"(34.0721, -118.2669)"
03/26/2019,03/26/2019,612,Rampart,3101 3401 3701 3003 3027 3029,30,M,H,STREET,BONNIE BRAE                  ST,6TH                          ST,"(34.0585, -118.2724)"
03/26/2019,03/26/2019,1500,N Hollywood,3036 3003 3027 3101 3401 3701 3038 4026,69,F,O,STREET,VINELAND                     AV,VICTORY                      BL,"(34.1867, -118.3703)"
03/29/2019,03/29/2019,625,Harbor,4025 3037 3027 3602 3101 3009 3601,39,M,H,STREET,PCH,WILMINGTON                   AV,"(33.7904, -118.275)"
03/29/2019,03/29/2019,1445,Hollywood,3009 3027 3034 3037 3101 3401 3701 4027,21,F,A,STREET,N  CAHUENGA                     BL,LEXINGTON                    AV,"(34.0926, -118.3289)"
03/30/2019,03/29/2019,2158,Topanga,3040 3004 3036 3027 3101 3401 3701 4026,51,M,H,STREET,VENTURA                      BL,WINNETKA                     AV,"(34.171, -118.5709)"
03/31/2019,03/30/2019,2140,77th Street,1402 4025 3037 3003 3027 3029 3101 1218 3601,51,M,H,STREET,54TH                         ST,HOOVER                       ST,"(33.9933, -118.2871)"
03/31/2019,03/31/2019,100,Foothill,3038 1402 3004 3037 3027 3101 3401 3701 4026,60,M,H,STREET,FOOTHILL                     BL,VAN NUYS                     BL,"(34.2839, -118.405)"
