Date Reported,Date Occurred,Time Occurred,Area Name,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Description,Address,Cross Street,Location
08/09/2019,08/09/2019,45,Pacific,3003 3027 3035 3036 3101 3401 3701 4027,84,M,W,STREET,VENICE                       BL,S  ROBERTSON                    BL,"(34.0283, -118.3904)"
08/09/2019,08/09/2019,1220,Central,0605 3101 3401 3701 4024 3003 3027 1218,56,M,H,STREET,8TH                          ST,SAN PEDRO                    ST,"(34.0385, -118.2491)"
08/13/2019,08/12/2019,2225,Pacific,3003 3027 3029 3035 3037 3101 3401 3701 4027 1218,45,F,H,STREET,SEPULVEDA                    BL,PALMS                        BL,"(34.0193, -118.4222)"
08/18/2019,08/18/2019,200,Van Nuys,3004 3027 3038 3036 3101 3401 3701 4026,22,F,H,STREET,SEPULVEDA                    BL,VICTORY                      BL,"(34.1867, -118.4662)"
08/20/2019,08/19/2019,815,Mission,3022 3027 3037 3101 3401 3701 4026,39,F,H,OTHER PREMISE,BLEDSOE                      ST,SAN FERNANDO                 RD,"(34.3049, -118.4658)"
08/21/2019,08/21/2019,535,Hollywood,3027 3003 3035 3037 3101 3401 3701 4027,69,M,H,STREET,SANTA MONICA                 BL,LAS PALMAS                   AV,"(34.0907, -118.3363)"
08/23/2019,08/22/2019,1710,Pacific,3027 3009 3029 3035 3036 3101 3401 3701 4014,60,M,W,STREET,LINCOLN                      BL,SAN MIGUEL                   AV,"(33.9934, -118.46)"
08/23/2019,08/23/2019,215,Foothill,1218 3008 3037 3029 3101 3401 3701 4026 3027,55,M,W,STREET,FOOTHILL                     BL,ORO VISTA                    AV,"(34.2597, -118.3158)"
08/23/2019,08/23/2019,1210,Northeast,3101 3401 3701 3008 3027,55,M,W,STREET,GRIFFITH PARK                BL,HOLBORO                      DR,"(34.1156, -118.2758)"
08/28/2019,08/27/2019,120,77th Street,4025 3037 3003 3027 3030 3101 3501,57,M,B,STREET,NORMANDIE,51ST                         ST,"(33.9969, -118.3002)"
08/28/2019,08/27/2019,2310,Mission,3003 1218 3027 3037 3101 3401 3701 4026,21,M,H,STREET,HUBBARD                      ST,CHIVERS                      ST,"(34.3035, -118.4348)"
08/28/2019,08/28/2019,735,West Valley,3003 3027 3037 3101 3401 3701 4026,82,F,H,STREET,SHERMAN                      WY,RHEA                         AV,"(34.2011, -118.5415)"
08/29/2019,08/29/2019,552,West LA,3011 3027 3034 3037 3101 3401 3701 4027,,M,W,STREET,PICO                         BL,CREST                        DR,"(34.0553, -118.3874)"
08/31/2019,08/30/2019,855,West LA,3003 3027 3035 3036 3101 3401 3701 4027,67,F,H,STREET,WHITWORTH                    DR,S  CLARK                        DR,"(34.0571, -118.3847)"
08/31/2019,08/31/2019,530,Newton,3101 3401 3701 3003 3027 3036,89,M,H,STREET,SAN PEDRO                    ST,71ST                         ST,"(33.9755, -118.2695)"
08/31/2019,08/31/2019,1215,Foothill,3003 3027 3032 3037 3101 3401 3701 4026,60,F,H,STREET,FOOTHILL                     BL,SCOVILLE                     AV,"(34.2597, -118.314)"
09/03/2019,09/02/2019,2040,Hollenbeck,3101 3401 3701 3003 3027 3029,,,,STREET,HUNTINGTON                   DR,TOPAZ                        ST,"(34.0832, -118.1905)"
09/03/2019,09/02/2019,2345,Southeast,4025 3036 3003 3027 3029 3101 3501 1402,74,M,H,STREET,92ND                         ST,GRAPE                        ST,"(33.9533, -118.2363)"
09/04/2019,09/04/2019,1400,Newton,3101 3401 3701 3003 3027 1218,23,M,H,STREET,GAGE                         AV,CENTRAL                      AV,"(33.982, -118.2564)"
09/05/2019,09/04/2019,2020,Van Nuys,3027 3003 3037 3101 3401 3701 4026 1218,,,,STREET,SATICOY                      ST,KESTER                       AV,"(34.2085, -118.4575)"
09/07/2019,09/06/2019,2140,Harbor,4025 3036 3004 3027 3101 3601 1402,25,M,H,STREET,PACIFIC COAST                HY,GULF                         AV,"(33.7897, -118.2787)"
09/11/2019,09/10/2019,2135,77th Street,3501 3601 4025 3036 3003 3027 3101,42,F,H,STREET,FIGUEROA                     ST,52ND                         ST,"(33.9957, -118.2827)"
09/17/2019,09/16/2019,720,Van Nuys,3401 3003 3027 3037 3101 3701 3034 4026,57,F,H,STREET,VANOWEN                      ST,SUNNYSLOPE                   AV,"(34.194, -118.4268)"
09/18/2019,09/18/2019,1230,Newton,3027 3101 3401 3701 3003 3032,79,M,H,GAS STATION,BROADWAY,VERNON                       AV,"(34.0038, -118.2783)"
09/21/2019,09/21/2019,1030,N Hollywood,3009 3027 3037 3101 3401 3701 3602 4026,30,M,W,STREET,SHERMAN                      WY,COLDWATER CA                 AV,"(34.1936, -118.4166)"
09/23/2019,09/22/2019,2345,Southwest,3501 4025 3037 3003 3027 3101,23,F,H,STREET,48TH                         ST,ARLINGTON                    AV,"(34.0001, -118.3181)"
09/25/2019,09/25/2019,330,N Hollywood,3003 3037 1218 3101 3401 3701 4026 3027,60,M,W,STREET,SHERMAN                      WY,COLDWATER CA                 AV,"(34.1936, -118.4166)"
09/25/2019,09/25/2019,641,Rampart,3101 3401 3701 3003 3027 1218,36,M,A,STREET,WILSHIRE,VALENCIA,"(34.0546, -118.2684)"
09/28/2019,09/27/2019,10,77th Street,3040 3601 4025 3037 3006 3027 3101,29,M,H,STREET,WESTERN                      AV,94TH                         ST,"(33.9511, -118.309)"
09/27/2019,09/27/2019,1040,Southeast,3027 3003 3601 4025 3036 3004 3101,45,M,B,STREET,CENTURY                      BL,MAIN                         ST,"(33.9456, -118.2739)"
09/28/2019,09/27/2019,1925,Mission,3027 3037 3029 3003 3101 3401 3701 4026,69,F,O,STREET,PLUMMER                      ST,VAN NUYS                     BL,"(34.2427, -118.4502)"
09/29/2019,09/29/2019,835,West Valley,3004 3027 3037 3101 3401 3701 4026 3602,,,,,0,,"(34.1866, -118.5098)"
10/02/2019,10/02/2019,545,Southwest,3027 3601 4025 3003 3602 3038 3029 3101,35,M,B,STREET,BUDLONG                      AV,MARTIN LUTHER KING JR        BL,"(34.0109, -118.2959)"
10/03/2019,10/02/2019,2015,Foothill,3009 3027 3036 3101 3401 3701 4026,48,M,H,STREET,TUJUNGA CANYON               BL,SAINT ESTABAN                ST,"(34.2451, -118.2762)"
10/04/2019,10/04/2019,150,Foothill,3034 3011 3037 3027 3101 3401 3701 4026,27,M,O,STREET,GLENOAKS                     BL,VAN NUYS                     BL,"(34.2737, -118.4117)"
10/05/2019,10/04/2019,1905,Southeast,3501 4025 3037 3027 3003 3101 3601,60,F,H,STREET,CENTURY                      BL,BARING CROSS                 ST,"(33.9455, -118.2893)"
10/05/2019,10/05/2019,400,Southeast,3037 3602 3101 3004 3027 3601 0605,22,M,H,STREET,CENTURY                      BL,MAIN                         ST,"(33.9456, -118.2739)"
10/06/2019,10/06/2019,10,Topanga,3038 3004 3036 3602 3027 3101 3401 3701 4026,34,M,H,STREET,PARTHENIA                    ST,INTERNATIONAL                AV,"(34.2282, -118.5995)"
10/07/2019,10/06/2019,343,Southeast,1218 3601 4025 3037 3003 3027 3029 3101,36,M,B,STREET,FIGUEROA                     ST,MANCHESTER                   AV,"(33.9601, -118.2827)"
10/09/2019,10/08/2019,2230,Topanga,3027 3015 3034 3037 3101 3401 3701 4026 3602,,M,W,,0,,"(34.1829, -118.6015)"
10/09/2019,10/09/2019,840,N Hollywood,3027 3401 3003 3036 3101 3701 4026,49,M,H,STREET,WHITSETT                     AV,VOSE                         ST,"(34.1985, -118.4052)"
10/10/2019,10/10/2019,1550,Hollenbeck,0605 3101 3401 3701 3006 3027,25,M,A,STREET,HUNTINGTON,TOURMALINE,"(34.08, -118.1918)"
10/13/2019,10/12/2019,1820,Rampart,0605 3101 3401 3701 3003 3027 3036 0910,51,M,H,STREET,SUNSET,CUSTER,"(34.0645, -118.2484)"
10/14/2019,10/14/2019,455,Harbor,3601 3501 4025 0101 3027 3101 3037 3003 1218,42,F,O,STREET,PACIFIC COAST                HY,FIGUEROA                     PL,"(33.7909, -118.2845)"
10/16/2019,10/16/2019,618,West LA,3003 3027 3029 3034 3037 3104 3401 3701 4027,43,M,H,STREET,SEPULVEDA                    BL,PICO                         BL,"(34.037, -118.4351)"
10/16/2019,10/16/2019,745,Olympic,3003 3027 3035 3036 3101 3401 3701 4027,31,F,H,STREET,NORMANDIE                    AV,OLYMPIC                      BL,"(34.0526, -118.3)"
10/17/2019,10/17/2019,1235,Foothill,3003 3027 3033 3035 3037 3101 3401 3701 4026,66,M,B,STREET,VAN NUYS                     BL,BROMONT                      AV,"(34.2816, -118.4073)"
10/18/2019,10/18/2019,300,Wilshire,1218 3003 3027 3029 3034 3037 3104 3401 3701 4027,29,M,B,STREET,HIGHLAND                     AV,WILLOUGHBY                   AV,"(34.0871, -118.3386)"
10/19/2019,10/18/2019,2035,Devonshire,4026 3008 3027 3029 3035 3037 3101 3401 3701 1218,56,M,W,STREET,WOODLEY                      AV,RAYEN                        ST,"(34.232, -118.4851)"
10/20/2019,10/19/2019,2020,77th Street,3601 3027 4025 3037 3004 3101,26,M,B,STREET,48TH                         ST,WESTERN                      BL,"(34.0001, -118.3089)"
10/20/2019,10/19/2019,2350,Foothill,3037 3003 3027 3101 3401 3701 4026 3029 3034,61,M,H,STREET,SAN FERNANDO                 RD,TRUESDALE                    ST,"(34.2423, -118.3969)"
10/20/2019,10/20/2019,520,Devonshire,3004 3036 3602 3027 3101 3401 3701 4026 3029,54,F,H,STREET,BALBOA                       BL,LASSEN                       ST,"(34.2503, -118.5024)"
10/21/2019,10/20/2019,1555,77th Street,3027 3004 3029,55,M,H,STREET,MCKINLEY                     AV,76TH                         ST,"(33.9712, -118.2608)"
10/25/2019,10/24/2019,1945,Foothill,4026 3003 3027 1218 3037 3033 3101 3401 3701,60,M,W,STREET,SUNLAND                      BL,NOHLES                       DR,"(34.2597, -118.3341)"
10/25/2019,10/25/2019,100,Rampart,0605 3101 3401 3701 3003 3801 3027,20,M,H,STREET,ALVARADO,SANTA YNEZ,"(34.0752, -118.2649)"
10/25/2019,10/25/2019,223,Hollywood,3008 3027 3029 3034 3037 3101 3401 3701 4027 1218,49,F,H,STREET,ORANGE                       DR,HOLLYWOOD                    BL,"(34.1016, -118.3417)"
10/25/2019,10/25/2019,324,77th Street,3601 4025 3027 3029 3101 3036 3008,65,M,B,STREET,MANCHESTER                   AV,MAIN                         ST,"(33.9601, -118.2739)"
10/28/2019,10/28/2019,1400,Topanga,4026 3004 3027 3033 3037 3035 3101 3401 3701,61,M,H,STREET,VANOWEN                      ST,TOPANGA CANYON               BL,"(34.1938, -118.6059)"
10/30/2019,10/30/2019,2005,77th Street,1402 3027 3501 4025 3037 3003 1218 3029 3101,52,F,W,STREET,CENTURY                      BL,MANHATTAN                    PL,"(33.9455, -118.3102)"
10/31/2019,10/31/2019,620,Hollywood,3003 3027 3035 3037 3101 3401 3701 4027,58,F,W,STREET,HOLLYWOOD                    BL,SERRANO                      AV,"(34.1018, -118.3072)"
11/01/2019,10/31/2019,1940,Pacific,3003 3027 3035 3037 3101 3401 3701 4027 2004,24,M,B,STREET,FALMOUTH                     AV,83RD                         ST,"(33.9593, -118.4377)"
11/01/2019,11/01/2019,1739,Foothill,1218 3022 3027 3037 3101 3401 3701 4026,30,M,H,STREET,SAN FERNANDO                 RD,DEL SUR                      ST,"(34.2768, -118.4334)"
11/02/2019,11/01/2019,2155,Van Nuys,3003 3027 3029 3040 3037 3101 3401 3701 4026,22,M,H,STREET,SEPULVEDA                    BL,HATTERAS                     ST,"(34.1758, -118.4662)"
11/07/2019,11/07/2019,700,Devonshire,3004 3027 3034 3036 3101 3401 3701 4026,75,F,W,STREET,GOTHIC                       AV,ROSCOE                       BL,"(34.2213, -118.4896)"
11/09/2019,11/08/2019,2245,Newton,3101 3401 3701 3003 3027,54,M,H,STREET,MARTIN LUTHER KING JR        BL,GRIFFITH                     AV,"(34.0111, -118.2628)"
11/13/2019,11/13/2019,1730,Mission,3009 3027 3036 3101 3401 3701 4026,,,,STREET,HERRON                       ST,GLENOAKS                     BL,"(34.3015, -118.4418)"
11/14/2019,11/14/2019,1440,Northeast,3027 3101 3401 3701 3009 3036,29,M,W,STREET,LOS FELIZ                    BL,VERMONT                      AV,"(34.1111, -118.2918)"
11/14/2019,11/14/2019,1455,West Valley,3027 3037 3101 3401 3701 4026 3003,17,F,H,STREET,SATICOY                      ST,CANBY                        AV,"(34.2084, -118.5339)"
11/16/2019,11/15/2019,2133,Pacific,3003 3027 3035 3037 3101 3401 3701 4027,44,M,H,STREET,LINCOLN                      BL,ROSE                         AV,"(34.0014, -118.4679)"
11/16/2019,11/16/2019,535,Mission,3003 3027 3036 3101 3401 3701 4026 3029,69,F,H,STREET,NORDHOFF                     ST,TOBIAS                       AV,"(34.2354, -118.4517)"
11/17/2019,11/17/2019,52,Devonshire,3006 3027 3038 3037 3101 3401 3701 4026,19,M,H,STREET,PARTHENIA                    ST,SUNNY BRAE                   AV,"(34.2332, -118.5829)"
11/18/2019,11/17/2019,1800,Harbor,3501 4025 3037 3003 3027 3101 3601,62,M,H,STREET,NORMANDIE                    AV,255TH                        ST,"(33.7928, -118.2975)"
11/17/2019,11/17/2019,1802,Topanga,3008 3029 3037 3401 3701 4026 3103 3027,25,M,W,STREET,VENTURA                      BL,PREMIERE HIL                 DR,"(34.1648, -118.5771)"
11/18/2019,11/18/2019,1030,Pacific,3003 3035 3036 3101 3401 3701 4027 3027,38,M,W,STREET,VENICE                       BL,LINCOLN                      BL,"(33.994, -118.4526)"
11/18/2019,11/18/2019,2240,Hollywood,3009 3027 3035 3036 3101 3401 3701 4006,26,M,W,STREET,SUNSET                       BL,ARGYLE                       AV,"(34.098, -118.3252)"
11/19/2019,11/19/2019,455,Topanga,3401 3003 3037 3027 1218 3101 3701 4026,66,F,W,STREET,TOPANGA CANYON,NORDHOFF,"(34.2354, -118.605)"
11/20/2019,11/20/2019,1115,Wilshire,3027 3006 3034 3037 3102 3401 3701 4027,18,,,STREET,COMMODORE SLOAT              DR,CARRILLO                     DR,"(34.0607, -118.3689)"
11/20/2019,11/20/2019,1200,Devonshire,3009 3036 3027 3101 3401 3701 4026 1402,28,M,W,STREET,LASSEN                       ST,WINNETKA                     AV,"(34.25, -118.5712)"
11/20/2019,11/20/2019,1340,Devonshire,3004 3037 3027 3101 3401 3701 4026,18,M,W,STREET,SAN FERNANDO                 RD,SEPULVEDA                    BL,"(34.313, -118.5202)"
11/22/2019,11/21/2019,2245,Rampart,3101 3401 3701 3003 3036 3029 3027 1218,38,M,H,STREET,OLYMPIC                      BL,LAKE                         ST,"(34.0522, -118.281)"
11/22/2019,11/22/2019,1725,Devonshire,3003 3037 3027 3101 3401 3701 4026,49,M,W,STREET,RINALDI,RUFFNER,"(34.2793, -118.4978)"
11/23/2019,11/22/2019,1940,Pacific,3004 3027 3035 3037 3101 3401 3701 4027,42,F,W,,0,,"(33.9511, -118.3963)"
11/23/2019,11/23/2019,250,Southwest,1218 4025 3036 3101 3027 3008 3038,49,M,H,STREET,ADAMS                        BL,CLOVERDALE                   AV,"(34.0325, -118.3576)"
11/28/2019,11/28/2019,600,77th Street,1218 3501 3601 4025 3037 3003 3027 3029 3101,40,M,H,STREET,FLORENCE                     AV,GRAMERCY                     PL,"(33.9746, -118.3134)"
11/29/2019,11/28/2019,2040,Southwest,3501 3601 4025 3027 3029 3101 3036 3003 1218,62,M,O,STREET,ADAMS,WEST,"(34.0338, -118.337)"
11/29/2019,11/29/2019,1710,Hollenbeck,3027 3101 3401 3701 3003 1218,55,M,H,STREET,S  SOTO                         ST,E  OLYMPIC                      BL,"(34.0243, -118.2198)"
11/30/2019,11/29/2019,2255,Southeast,4025 3036 3004 3027 3101,52,F,H,STREET,COLDEN                       AV,MCKINLEY                     AV,"(33.9493, -118.2608)"
12/04/2019,12/04/2019,1840,Newton,0605 3101 3401 3701 3022 3027 3103,35,M,H,STREET,WASHINGTON,GRIFFITH,"(34.0259, -118.2535)"
12/04/2019,12/04/2019,2130,77th Street,4025 3029 3101 3037 3003 3027 3501 3601,47,M,H,STREET,AVALON,81ST,"(33.9656, -118.2651)"
12/07/2019,12/07/2019,1745,Van Nuys,3027 3008 3037 3101 3401 3701 4026,44,M,H,STREET,VICTORY                      BL,KESTER                       AV,"(34.1867, -118.4575)"
12/10/2019,12/09/2019,1830,Harbor,4025 3037 3003 3027 3101 3501,68,M,A,STREET,VERMONT                      AV,255TH                        ST,"(33.7928, -118.2909)"
12/10/2019,12/09/2019,2150,West LA,3008 3027 3035 3036 3101 3401 3701 4027 1402,82,M,W,STREET,BARRINGTON                   AV,EXPOSITION                   BL,"(34.0328, -118.4465)"
12/11/2019,12/11/2019,650,West Valley,3004 3037 3027 3602 3101 3401 3701 4026,,,,STREET,CORBIN                       AV,HART                         ST,"(34.1975, -118.5623)"
12/14/2019,12/12/2019,2340,Rampart,3101 3401 3701 3003 3027 3036 1218,38,M,W,STREET,BEVERLY                      BL,PARK VIEW                    ST,"(34.0681, -118.2735)"
12/13/2019,12/13/2019,1125,Wilshire,3003 3027 3035 3036 3101 3401 3701 4027,82,M,W,STREET,FAIRFAX                      AV,1ST                          ST,"(34.0743, -118.3614)"
12/15/2019,12/14/2019,1959,West LA,3027 3003 3035 3037 3101 3401 3701 4027,63,M,B,STREET,PICO,SHERBOURNE,"(34.054, -118.3795)"
12/18/2019,12/18/2019,612,Southeast,3601 3501 4025 3037 3003 3027 3101,49,M,H,STREET,88TH                         ST,VERMONT                      AV,"(33.958, -118.2915)"
12/19/2019,12/19/2019,520,Rampart,3101 3401 3701 0605 3003 3029 3027,60,M,H,STREET,SUNSET,DOUGLAS,"(34.0742, -118.2519)"
12/20/2019,12/20/2019,525,Rampart,3101 3401 3701 0605 3003 3027 1218,54,M,O,STREET,VIRGIL                       AV,OAKWOOD                      AV,"(34.0777, -118.2868)"
12/28/2019,12/28/2019,820,Pacific,3004 3027 3034 3036 3401 3701 4027 3101,48,M,W,STREET,LINCOLN                      BL,JEFFERSON                    BL,"(33.9721, -118.4303)"
12/28/2019,12/28/2019,1830,Topanga,4021 3027 1218 3003 3037 3101,26,F,W,STREET,VENTURA                      BL,DEL MORENO                   DR,"(34.1695, -118.5749)"
12/29/2019,12/29/2019,40,Southeast,4025 3036 3004 3027 3101 3602 1402,40,M,H,STREET,ARTESIA                      BL,VERMONT                      AV,"(33.8773, -118.2867)"
12/30/2019,12/30/2019,1629,Northeast,0605 3101 3401 3701 3003 3027 3034,46,F,W,STREET,LEWIS                        ST,MERIDIAN,"(34.1201, -118.1801)"
12/31/2019,12/31/2019,1800,Newton,1402 0605 3101 3401 3701 3003 3027 3029 3036 1218,67,M,B,STREET,AVALON,37TH,"(34.0128, -118.2653)"
01/04/2020,01/03/2020,45,Southwest,4025 3027 3037 3003 3103 3022 3501,64,M,B,STREET,EXPOSITION                   BL,ARLINGTON                    AV,"(34.019, -118.3177)"
01/05/2020,01/05/2020,1630,Newton,3027 0605 3101 3401 3701 3036 3003,66,M,H,STREET,AVALON                       BL,JEFFERSON                    BL,"(34.0174, -118.2621)"
01/06/2020,01/06/2020,400,Southeast,1402 1218 3601 3501 3602 3027 3003,32,M,B,STREET,CENTRAL                      AV,112TH                        ST,"(33.9331, -118.2542)"
01/06/2020,01/06/2020,1725,77th Street,3602 4025 3037 3003 3027 3101 3601 3501,63,M,B,STREET,SLAUSON                      AV,RUTHELEN                     AV,"(33.9891, -118.3126)"
01/09/2020,01/09/2020,1207,Devonshire,3037 3027 3101 4026 3009,47,M,H,STREET,PRAIRIE                      ST,IRONDALE                     AV,"(34.2409, -118.5864)"
01/12/2020,01/12/2020,1100,N Hollywood,3602 3003 3027 3037 3101 4026,41,F,W,STREET,RIVERSIDE                    DR,WHITSETT                     AV,"(34.1576, -118.4053)"
01/18/2020,01/18/2020,35,Devonshire,3006 3027 3034 3037 3101 4026,57,,,STREET,WOODLEY                      AV,CHATSWORTH                   ST,"(34.2647, -118.4848)"
01/20/2020,01/19/2020,1905,Mission,3008 3027 3029 3037 1218 3101 4026,36,M,H,STREET,BRANFORD                     ST,ARLETA                       AV,"(34.2361, -118.4198)"
01/20/2020,01/20/2020,514,Olympic,3027 3034 3003 3036 3101 3401 3701 4027,52,M,W,STREET,WESTERN                      AV,HARRINGTON                   AV,"(34.0527, -118.3066)"
01/21/2020,01/20/2020,2355,Hollywood,1402 3003 3027 3029 3035 3037 3102 3401 3701 4027,28,F,O,DRIVEWAY,MARTEL                       AV,SUNSET                       BL,"(34.098, -118.3506)"
01/23/2020,01/22/2020,1600,Harbor,4025 3036 3027 3101 3009,51,F,W,STREET,PACIFIC COAST                HY,WATSON                       AV,"(33.791, -118.2481)"
01/27/2020,01/24/2020,5,Southeast,4025 3037 3003 3027 3101 3501 3034 3601,26,M,H,STREET,COMPTON                      AV,92ND                         ST,"(33.9534, -118.2475)"
01/24/2020,01/24/2020,745,Rampart,0605 3101 3401 3701 3004 3027 3029 1402,61,F,H,STREET,SUNSET                       BL,DOUGLAS                      ST,"(34.0742, -118.2519)"
01/29/2020,01/28/2020,1959,77th Street,1402 3027 3014 3602,,M,O,STREET,62ND                         ST,ST ANDREWS                   PL,"(33.9834, -118.3115)"
01/29/2020,01/28/2020,2020,Newton,1218 0605 3101 3401 3701 3003 3027,53,M,H,STREET,CENTRAL                      AV,10TH                         ST,"(34.031, -118.2448)"
02/02/2020,02/01/2020,2355,Northeast,1218 0605 3101 3401 3701 3003 3027,27,F,A,STREET,EAGLE ROCK                   BL,VERDUGO                      RD,"(34.1183, -118.2324)"
02/06/2020,02/06/2020,100,Newton,1402 3003 3027 3029 3101 0605 3401 3701,34,M,B,STREET,HILL,ADAMS,"(34.0258, -118.2708)"
02/06/2020,02/06/2020,606,Harbor,3501 4025 3037 3003 3027 3101 3601,24,M,H,STREET,AVALON,N                            ST,"(33.7948, -118.2694)"
02/06/2020,02/06/2020,2010,Foothill,3003 3027 3029 3036 3101 4026 3038,,M,H,STREET,GLENOAKS                     BL,DESMOND                      ST,"(34.2819, -118.4204)"
02/07/2020,02/07/2020,245,Van Nuys,3008 3027 3036 3101 1218 4026,59,M,W,STREET,SEPULVEDA                    BL,BURBANK                      BL,"(34.1721, -118.4662)"
02/07/2020,02/07/2020,540,77th Street,4025 0605 3003 3027 3601 3037 3101,38,F,O,STREET,FLORENCE                     AV,ST ANDREWS                   PL,"(33.9746, -118.3112)"
02/08/2020,02/07/2020,1930,Pacific,3003 3027 3035 3037 3101 3401 3701 4027,22,M,O,STREET,VENICE                       BL,PISANI                       PL,"(33.9914, -118.4578)"
02/13/2020,02/13/2020,115,Pacific,3003 3029 3037 3101 3401 3701 4027 1402 3034 3027,49,F,W,STREET,PERSHING                     DR,CAMPDELL                     ST,"(33.9574, -118.4431)"
02/16/2020,02/16/2020,145,77th Street,3601 4025 3004 3027 3037 3101,30,M,H,STREET,MANCHESTER                   AV,BUDLONG                      AV,"(33.96, -118.2959)"
02/20/2020,02/20/2020,530,Newton,0605 3101 3401 3701 3027 3003,33,M,H,STREET,MAIN                         ST,VERNON                       AV,"(34.0038, -118.274)"
02/22/2020,02/22/2020,400,Olympic,3003 3027 3029 3037 3101 3401 3701 4027 3035,88,M,K,STREET,8TH                          ST,WESTMORELAND                 AV,"(34.0578, -118.2891)"
02/24/2020,02/24/2020,49,Central,0605 3101 3401 3701 3003 3029 3027,57,F,H,STREET,SUNSET                       BL,WHITE KNOLL                  DR,"(34.0668, -118.2497)"
02/24/2020,02/24/2020,1830,Foothill,3009 3037 3027 3602 3101 4026,23,M,W,STREET,FOOTHILL                     BL,VALMONT                      ST,"(34.2523, -118.2947)"
02/25/2020,02/24/2020,2300,Rampart,3027 0605 3101 3401 3701 3004 3036,23,F,C,STREET,ALVARADO                     ST,OLYMPIC                      BL,"(34.0503, -118.2808)"
02/27/2020,02/26/2020,1850,Mission,3003 3027 3037 3029 3101 4026,81,F,H,STREET,HUBBARD                      ST,DRONFIELD                    AV,"(34.3048, -118.4333)"
03/01/2020,02/29/2020,2000,Foothill,3003 3027 3037 3101 4026 1218,29,M,O,STREET,BRANFORD                     ST,HADDON                       AV,"(34.2421, -118.4116)"
03/02/2020,03/02/2020,955,Olympic,1402 3003 3027 3035 3036 3101 3401 3701 4027,58,F,A,STREET,WESTERN                      AV,4TH                          ST,"(34.0671, -118.3091)"
03/02/2020,03/02/2020,1855,West Valley,3003 3027 3036 3101 3039 4026 3029 1218,33,F,H,STREET,TAMPA                        AV,HART                         ST,"(34.1975, -118.5535)"
03/03/2020,03/03/2020,1310,Mission,3003 3027 3029 3036 3101 4026,64,F,O,STREET,WOODMAN                      AV,STRATHERN                    ST,"(34.2157, -118.4311)"
03/04/2020,03/04/2020,1650,West LA,3009 3027 3035 3036 3101 3401 3701 4027,19,F,W,STREET,OLYMPIC                      BL,BARRINGTON                   AV,"(34.0342, -118.4478)"
03/06/2020,03/06/2020,515,Southwest,3601 3501 4025 3037 3003 3027 1218 3101,79,M,B,STREET,JEFFERSON                    BL,LA CIENEGA                   BL,"(34.0265, -118.3721)"
03/06/2020,03/06/2020,710,Southwest,3601 4025 0101 3027 3101 3004,82,F,B,STREET,FERNDALE,LA BREA,"(34.0291, -118.3669)"
03/06/2020,03/06/2020,740,Olympic,3701 3003 3027 3035 3037 3101 3401 4027,27,M,H,STREET,WASHINGTON                   BL,MAGNOLIA                     AV,"(34.04, -118.2864)"
03/08/2020,03/07/2020,2145,Harbor,4025 3037 3004 3101 3027,31,M,H,STREET,HARRY BRIDGE                 BL,QUAY                         AV,"(33.7753, -118.2456)"
03/08/2020,03/08/2020,1215,Topanga,3003 3036 3101 4026 3027,33,F,H,STREET,WINNETKA                     AV,ARMINTA                      ST,"(34.2132, -118.571)"
03/09/2020,03/08/2020,1945,Northeast,0605 3101 3401 3701 3003 3027,53,M,H,STREET,FLETCHER                     DR,SAN FERNANDO                 RD,"(34.1119, -118.2529)"
03/10/2020,03/09/2020,2354,Mission,3004 3027 3037 3602 3038 3101 4026,36,M,H,STREET,NORDHOFF                     ST,BURNET                       AV,"(34.2355, -118.4632)"
03/10/2020,03/10/2020,731,Newton,0605 3101 3401 3701 3003 3027 3036,12,M,H,STREET,MARTIN LUTHER KING JR        BL,WOODLAWN                     AV,"(34.0112, -118.2728)"
03/10/2020,03/10/2020,2045,77th Street,3027 4025 1218 3601 3037 3008 3101,51,M,B,STREET,48TH                         ST,WESTERN                      AV,"(34.0001, -118.3089)"
03/11/2020,03/10/2020,2130,Devonshire,3009 3027 3036 3101 4026,26,M,H,STREET,DEVONSHIRE                   ST,MASON                        AV,"(34.2573, -118.5798)"
03/16/2020,03/16/2020,350,Newton,0605 3101 3401 3701 3009 3027 3036,16,M,B,STREET,BROADWAY,GAGE                         AV,"(33.9824, -118.2783)"
03/27/2020,03/26/2020,1950,West Valley,3003 3027 3037 3101 4026,36,M,H,STREET,RESEDA                       BL,VICTORY                      BL,"(34.1866, -118.536)"
03/28/2020,03/27/2020,2307,West LA,3027 3011 3034 3036 3101 3401 3701 4027,19,,,STREET,MULHOLLAND                   DR,ZELDINS                      WY,"(34.1292, -118.4794)"
04/07/2020,03/30/2020,155,Wilshire,1402 3004 3027 3034 3037 3101 3401 3701 4027,28,M,B,,0,,"(34.0819, -118.3386)"
03/30/2020,03/30/2020,1330,West LA,3004 3027 3035 3037 3101 3401 3701 4027,67,F,H,STREET,PALISADES                    DR,SUNSET                       BL,"(34.0445, -118.552)"
04/02/2020,04/01/2020,2230,Olympic,3003 3027 3035 3037 3101 3401 3701 4027,23,M,H,STREET,WASHINGTON                   BL,GRAMERCY                     PL,"(34.04, -118.313)"
